db_taxon,db_life_stage,equation_id,preservation,preservation_percentage,correction_percentage,correction_factor_id,body_size_meas,body_size_unit,body_size_min,body_size_max,equation_form,log_base,a,b,dry_biomass_scale,dry_biomass_min,dry_biomass_max,dry_biomass_unit,RMS,n,r2,lm_correction,lm_correction_type,lm_reference,reference
Athericidae,larva,91,formaldehyde,5,10.3,13,body_length,mm,3.3,5.3,model1,2.718282,-4.96184512992682,2.648,1,0.15,0.55,mg,NA,30,0.76,,BC_correction,strimbu_2018,6
Corisella,adult,92,ethanol,70,NA,NA,body_length,mm,4,6,model2,NA,0.0096,2.8658,1,0.15,2.62,mg,NA,25,0.7521,NA,NA,NA,7
Corisella,nymph,93,ethanol,70,NA,NA,body_length,mm,1,5,model2,NA,0.0124,2.5137,1,0.06,0.596,mg,NA,31,0.907,NA,NA,NA,7
Tricorythodes,nymph,94,ethanol,70,30,6,body_length,mm,1.2,5.4,model2,NA,0.0076,2.7993,1,0.01,1.23,mg,NA,70,0.9019,NA,NA,NA,7
Oligochaeta,none,95,ethanol,95,31.5,36_37,body_length,mm,1.96,62.1,model1,10,-2.23,1.54,1,NA,NA,mg,NA,47,0.77,1.2,smearing_factor,duan_1983,8
Ancylidae,none,96,ethanol,95,7,18,shell_height,mm,0.42,3.7,model1,10,-1.01,3.13,1,NA,NA,mg,NA,90,0.945,1.08,smearing_factor,duan_1983,8
Bithyniidae,none,97,ethanol,95,7,18,shell_height,mm,1.8,7.8,model1,10,-0.57,2.5,1,NA,NA,mg,NA,77,0.912,1.02,smearing_factor,duan_1983,8
Hydrobiidae,none,98,ethanol,95,7,18,shell_height,mm,0.8,4.6,model1,10,-0.74,2.82,1,NA,NA,mg,NA,153,0.957,1.04,smearing_factor,duan_1983,8
Physidae,none,99,ethanol,95,7,18,shell_height,mm,1.98,10.3,model1,10,-1.34,3.05,1,NA,NA,mg,NA,50,0.977,1.02,smearing_factor,duan_1983,8
Planorbidae,none,100,ethanol,95,7,18,shell_height,mm,0.7,17,model1,10,-1.12,2.9,1,NA,NA,mg,NA,93,0.969,1.04,smearing_factor,duan_1983,8
Valvatidae,none,101,ethanol,95,7,18,shell_height,mm,1.52,3.7,model1,10,-0.93,3.18,1,NA,NA,mg,NA,59,0.921,1.02,smearing_factor,duan_1983,8
Viviparidae,none,102,ethanol,95,7,18,shell_height,mm,2.08,15.2,model1,10,-0.64,2.6,1,NA,NA,mg,NA,59,0.932,1.07,smearing_factor,duan_1983,8
Asellidae,adult,103,ethanol,95,19.5,8,body_length,mm,1.72,11.4,model1,10,-2.11,2.6,1,NA,NA,mg,NA,133,0.908,1.08,smearing_factor,duan_1983,8
